"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Get exercises","LMS service","Wed Dec 03 10:05:51 UTC 2025","passed","Wed Dec 03 10:05:51 UTC 2025","Get entities","Exercises","",""
"","19","Create exercise","LMS service","Wed Dec 03 10:05:49 UTC 2025","passed","Wed Dec 03 10:05:49 UTC 2025","Create entity","Exercises","",""
"","11","Get user me","LMS service","Wed Dec 03 10:05:55 UTC 2025","passed","Wed Dec 03 10:05:55 UTC 2025","Get entity","Users","",""
"","25","Get courses","LMS service","Wed Dec 03 10:05:48 UTC 2025","passed","Wed Dec 03 10:05:48 UTC 2025","Get entities","Courses","",""
"","245","Get file with incorrect file id","LMS service","Wed Dec 03 10:05:54 UTC 2025","passed","Wed Dec 03 10:05:55 UTC 2025","Validate entity","Files","",""
"","16","Delete exercise","LMS service","Wed Dec 03 10:05:50 UTC 2025","passed","Wed Dec 03 10:05:50 UTC 2025","Delete entity","Exercises","",""
"","16","Create file with empty directory","LMS service","Wed Dec 03 10:05:53 UTC 2025","passed","Wed Dec 03 10:05:54 UTC 2025","Validate entity","Files","",""
"","12","Get file","LMS service","Wed Dec 03 10:05:52 UTC 2025","passed","Wed Dec 03 10:05:52 UTC 2025","Get entity","Files","",""
"","17","Create file","LMS service","Wed Dec 03 10:05:51 UTC 2025","passed","Wed Dec 03 10:05:51 UTC 2025","Create entity","Files","",""
"","19","Get exercise","LMS service","Wed Dec 03 10:05:50 UTC 2025","passed","Wed Dec 03 10:05:50 UTC 2025","Get entity","Exercises","",""
"","24","Update course","LMS service","Wed Dec 03 10:05:48 UTC 2025","passed","Wed Dec 03 10:05:48 UTC 2025","Update entity","Courses","",""
"","26","Update exercise","LMS service","Wed Dec 03 10:05:49 UTC 2025","passed","Wed Dec 03 10:05:49 UTC 2025","Update entity","Exercises","",""
"","529","Create user","LMS service","Wed Dec 03 10:05:55 UTC 2025","passed","Wed Dec 03 10:05:55 UTC 2025","Create entity","Users","",""
"","35","Create course","LMS service","Wed Dec 03 10:05:47 UTC 2025","passed","Wed Dec 03 10:05:47 UTC 2025","Create entity","Courses","",""
"","14","Create file with empty filename","LMS service","Wed Dec 03 10:05:54 UTC 2025","passed","Wed Dec 03 10:05:54 UTC 2025","Validate entity","Files","",""
"","244","Delete file","LMS service","Wed Dec 03 10:05:52 UTC 2025","passed","Wed Dec 03 10:05:52 UTC 2025","Delete entity","Files","",""
"","523","Create user","LMS service","Wed Dec 03 10:05:54 UTC 2025","passed","Wed Dec 03 10:05:54 UTC 2025","Create entity","Users","",""
"","523","Login with correct email and password","LMS service","Wed Dec 03 10:05:46 UTC 2025","passed","Wed Dec 03 10:05:47 UTC 2025","Login","Authentication","",""
"","481","Create user","LMS service","Wed Dec 03 10:05:54 UTC 2025","passed","Wed Dec 03 10:05:55 UTC 2025","Create entity","Users","",""
