"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259","Create file with empty filename","LMS service","Sat Nov 29 21:59:42 UTC 2025","passed","Sat Nov 29 21:59:42 UTC 2025","Validate entity","Files","",""
"","267","Create file","LMS service","Sat Nov 29 21:59:40 UTC 2025","passed","Sat Nov 29 21:59:40 UTC 2025","Create entity","Files","",""
"","12","Get user me","LMS service","Sat Nov 29 21:59:45 UTC 2025","passed","Sat Nov 29 21:59:45 UTC 2025","Get entity","Users","",""
"","305","Update course","LMS service","Sat Nov 29 21:59:37 UTC 2025","passed","Sat Nov 29 21:59:37 UTC 2025","Update entity","Courses","",""
"","293","Update exercise","LMS service","Sat Nov 29 21:59:38 UTC 2025","passed","Sat Nov 29 21:59:38 UTC 2025","Update entity","Exercises","",""
"","29","Get courses","LMS service","Sat Nov 29 21:59:36 UTC 2025","passed","Sat Nov 29 21:59:36 UTC 2025","Get entities","Courses","",""
"","290","Create exercise","LMS service","Sat Nov 29 21:59:37 UTC 2025","passed","Sat Nov 29 21:59:37 UTC 2025","Create entity","Exercises","",""
"","16","Get exercises","LMS service","Sat Nov 29 21:59:40 UTC 2025","passed","Sat Nov 29 21:59:40 UTC 2025","Get entities","Exercises","",""
"","557","Create user","LMS service","Sat Nov 29 21:59:43 UTC 2025","passed","Sat Nov 29 21:59:44 UTC 2025","Create entity","Users","",""
"","19","Get exercise","LMS service","Sat Nov 29 21:59:39 UTC 2025","passed","Sat Nov 29 21:59:39 UTC 2025","Get entity","Exercises","",""
"","265","Delete file","LMS service","Sat Nov 29 21:59:41 UTC 2025","passed","Sat Nov 29 21:59:42 UTC 2025","Delete entity","Files","",""
"","19","Create file with empty directory","LMS service","Sat Nov 29 21:59:43 UTC 2025","passed","Sat Nov 29 21:59:43 UTC 2025","Validate entity","Files","",""
"","284","Login with correct email and password","LMS service","Sat Nov 29 21:59:35 UTC 2025","passed","Sat Nov 29 21:59:35 UTC 2025","Login","Authentication","",""
"","263","Get file with incorrect file id","LMS service","Sat Nov 29 21:59:43 UTC 2025","passed","Sat Nov 29 21:59:43 UTC 2025","Validate entity","Files","",""
"","289","Delete exercise","LMS service","Sat Nov 29 21:59:39 UTC 2025","passed","Sat Nov 29 21:59:40 UTC 2025","Delete entity","Exercises","",""
"","288","Create user","LMS service","Sat Nov 29 21:59:43 UTC 2025","passed","Sat Nov 29 21:59:44 UTC 2025","Create entity","Users","",""
"","547","Create user","LMS service","Sat Nov 29 21:59:43 UTC 2025","passed","Sat Nov 29 21:59:43 UTC 2025","Create entity","Users","",""
"","34","Create course","LMS service","Sat Nov 29 21:59:36 UTC 2025","passed","Sat Nov 29 21:59:36 UTC 2025","Create entity","Courses","",""
"","12","Get file","LMS service","Sat Nov 29 21:59:41 UTC 2025","passed","Sat Nov 29 21:59:41 UTC 2025","Get entity","Files","",""
