"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","264","Get file with incorrect file id","LMS service","Sat Nov 29 22:36:13 UTC 2025","passed","Sat Nov 29 22:36:13 UTC 2025","Validate entity","Files","",""
"","293","Get exercises","LMS service","Sat Nov 29 22:36:09 UTC 2025","passed","Sat Nov 29 22:36:10 UTC 2025","Get entities","Exercises","",""
"","288","Delete exercise","LMS service","Sat Nov 29 22:36:09 UTC 2025","passed","Sat Nov 29 22:36:09 UTC 2025","Delete entity","Exercises","",""
"","286","Login with correct email and password","LMS service","Sat Nov 29 22:36:04 UTC 2025","passed","Sat Nov 29 22:36:05 UTC 2025","Login","Authentication","",""
"","553","Create user","LMS service","Sat Nov 29 22:36:13 UTC 2025","passed","Sat Nov 29 22:36:13 UTC 2025","Create entity","Users","",""
"","289","Create user","LMS service","Sat Nov 29 22:36:13 UTC 2025","passed","Sat Nov 29 22:36:13 UTC 2025","Create entity","Users","",""
"","561","Create user","LMS service","Sat Nov 29 22:36:13 UTC 2025","passed","Sat Nov 29 22:36:14 UTC 2025","Create entity","Users","",""
"","289","Get exercise","LMS service","Sat Nov 29 22:36:08 UTC 2025","passed","Sat Nov 29 22:36:08 UTC 2025","Get entity","Exercises","",""
"","27","Get courses","LMS service","Sat Nov 29 22:36:06 UTC 2025","passed","Sat Nov 29 22:36:06 UTC 2025","Get entities","Courses","",""
"","267","Delete file","LMS service","Sat Nov 29 22:36:11 UTC 2025","passed","Sat Nov 29 22:36:11 UTC 2025","Delete entity","Files","",""
"","19","Create file with empty directory","LMS service","Sat Nov 29 22:36:12 UTC 2025","passed","Sat Nov 29 22:36:13 UTC 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Sat Nov 29 22:36:14 UTC 2025","passed","Sat Nov 29 22:36:14 UTC 2025","Get entity","Users","",""
"","264","Create file","LMS service","Sat Nov 29 22:36:10 UTC 2025","passed","Sat Nov 29 22:36:10 UTC 2025","Create entity","Files","",""
"","19","Update exercise","LMS service","Sat Nov 29 22:36:08 UTC 2025","passed","Sat Nov 29 22:36:08 UTC 2025","Update entity","Exercises","",""
"","260","Create file with empty filename","LMS service","Sat Nov 29 22:36:12 UTC 2025","passed","Sat Nov 29 22:36:12 UTC 2025","Validate entity","Files","",""
"","12","Get file","LMS service","Sat Nov 29 22:36:11 UTC 2025","passed","Sat Nov 29 22:36:11 UTC 2025","Get entity","Files","",""
"","33","Create course","LMS service","Sat Nov 29 22:36:05 UTC 2025","passed","Sat Nov 29 22:36:05 UTC 2025","Create entity","Courses","",""
"","294","Create exercise","LMS service","Sat Nov 29 22:36:07 UTC 2025","passed","Sat Nov 29 22:36:07 UTC 2025","Create entity","Exercises","",""
"","302","Update course","LMS service","Sat Nov 29 22:36:06 UTC 2025","passed","Sat Nov 29 22:36:07 UTC 2025","Update entity","Courses","",""
