"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Get exercise","LMS service","Fri Nov 28 17:01:30 UTC 2025","passed","Fri Nov 28 17:01:30 UTC 2025","Get entity","Exercises","",""
"","27","Get courses","LMS service","Fri Nov 28 17:01:28 UTC 2025","passed","Fri Nov 28 17:01:28 UTC 2025","Get entities","Courses","",""
"","290","Create file with empty directory","LMS service","Fri Nov 28 17:01:34 UTC 2025","passed","Fri Nov 28 17:01:34 UTC 2025","Validate entity","Files","",""
"","25","Update exercise","LMS service","Fri Nov 28 17:01:29 UTC 2025","passed","Fri Nov 28 17:01:29 UTC 2025","Update entity","Exercises","",""
"","548","Create user","LMS service","Fri Nov 28 17:01:35 UTC 2025","passed","Fri Nov 28 17:01:35 UTC 2025","Create entity","Users","",""
"","286","Create user","LMS service","Fri Nov 28 17:01:35 UTC 2025","passed","Fri Nov 28 17:01:35 UTC 2025","Create entity","Users","",""
"","19","Delete exercise","LMS service","Fri Nov 28 17:01:30 UTC 2025","passed","Fri Nov 28 17:01:30 UTC 2025","Delete entity","Exercises","",""
"","20","Create exercise","LMS service","Fri Nov 28 17:01:29 UTC 2025","passed","Fri Nov 28 17:01:29 UTC 2025","Create entity","Exercises","",""
"","28","Update course","LMS service","Fri Nov 28 17:01:28 UTC 2025","passed","Fri Nov 28 17:01:28 UTC 2025","Update entity","Courses","",""
"","19","Get exercises","LMS service","Fri Nov 28 17:01:31 UTC 2025","passed","Fri Nov 28 17:01:32 UTC 2025","Get entities","Exercises","",""
"","554","Login with correct email and password","LMS service","Fri Nov 28 17:01:26 UTC 2025","passed","Fri Nov 28 17:01:27 UTC 2025","Login","Authentication","",""
"","543","Create user","LMS service","Fri Nov 28 17:01:34 UTC 2025","passed","Fri Nov 28 17:01:35 UTC 2025","Create entity","Users","",""
"","11","Get user me","LMS service","Fri Nov 28 17:01:36 UTC 2025","passed","Fri Nov 28 17:01:36 UTC 2025","Get entity","Users","",""
"","33","Create course","LMS service","Fri Nov 28 17:01:27 UTC 2025","passed","Fri Nov 28 17:01:27 UTC 2025","Create entity","Courses","",""
"","257","Delete file","LMS service","Fri Nov 28 17:01:32 UTC 2025","passed","Fri Nov 28 17:01:33 UTC 2025","Delete entity","Files","",""
"","13","Get file","LMS service","Fri Nov 28 17:01:33 UTC 2025","passed","Fri Nov 28 17:01:33 UTC 2025","Get entity","Files","",""
"","263","Get file with incorrect file id","LMS service","Fri Nov 28 17:01:34 UTC 2025","passed","Fri Nov 28 17:01:35 UTC 2025","Validate entity","Files","",""
"","260","Create file with empty filename","LMS service","Fri Nov 28 17:01:34 UTC 2025","passed","Fri Nov 28 17:01:34 UTC 2025","Validate entity","Files","",""
"","19","Create file","LMS service","Fri Nov 28 17:01:31 UTC 2025","passed","Fri Nov 28 17:01:32 UTC 2025","Create entity","Files","",""
