"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","557","Create user","LMS service","Wed Dec 03 10:17:02 UTC 2025","passed","Wed Dec 03 10:17:03 UTC 2025","Create entity","Users","",""
"","558","Create user","LMS service","Wed Dec 03 10:17:02 UTC 2025","passed","Wed Dec 03 10:17:03 UTC 2025","Create entity","Users","",""
"","12","Get user me","LMS service","Wed Dec 03 10:17:04 UTC 2025","passed","Wed Dec 03 10:17:04 UTC 2025","Get entity","Users","",""
"","12","Get file","LMS service","Wed Dec 03 10:17:00 UTC 2025","passed","Wed Dec 03 10:17:00 UTC 2025","Get entity","Files","",""
"","16","Get exercises","LMS service","Wed Dec 03 10:16:59 UTC 2025","passed","Wed Dec 03 10:16:59 UTC 2025","Get entities","Exercises","",""
"","39","Create course","LMS service","Wed Dec 03 10:16:55 UTC 2025","passed","Wed Dec 03 10:16:55 UTC 2025","Create entity","Courses","",""
"","285","Login with correct email and password","LMS service","Wed Dec 03 10:16:54 UTC 2025","passed","Wed Dec 03 10:16:54 UTC 2025","Login","Authentication","",""
"","288","Update exercise","LMS service","Wed Dec 03 10:16:57 UTC 2025","passed","Wed Dec 03 10:16:57 UTC 2025","Update entity","Exercises","",""
"","290","Delete exercise","LMS service","Wed Dec 03 10:16:58 UTC 2025","passed","Wed Dec 03 10:16:59 UTC 2025","Delete entity","Exercises","",""
"","20","Create file with empty directory","LMS service","Wed Dec 03 10:17:02 UTC 2025","passed","Wed Dec 03 10:17:02 UTC 2025","Validate entity","Files","",""
"","298","Update course","LMS service","Wed Dec 03 10:16:56 UTC 2025","passed","Wed Dec 03 10:16:56 UTC 2025","Update entity","Courses","",""
"","19","Get exercise","LMS service","Wed Dec 03 10:16:58 UTC 2025","passed","Wed Dec 03 10:16:58 UTC 2025","Get entity","Exercises","",""
"","260","Delete file","LMS service","Wed Dec 03 10:17:00 UTC 2025","passed","Wed Dec 03 10:17:01 UTC 2025","Delete entity","Files","",""
"","540","Create user","LMS service","Wed Dec 03 10:17:02 UTC 2025","passed","Wed Dec 03 10:17:02 UTC 2025","Create entity","Users","",""
"","263","Create file with empty filename","LMS service","Wed Dec 03 10:17:01 UTC 2025","passed","Wed Dec 03 10:17:01 UTC 2025","Validate entity","Files","",""
"","289","Create exercise","LMS service","Wed Dec 03 10:16:56 UTC 2025","passed","Wed Dec 03 10:16:57 UTC 2025","Create entity","Exercises","",""
"","259","Get file with incorrect file id","LMS service","Wed Dec 03 10:17:02 UTC 2025","passed","Wed Dec 03 10:17:02 UTC 2025","Validate entity","Files","",""
"","28","Get courses","LMS service","Wed Dec 03 10:16:55 UTC 2025","passed","Wed Dec 03 10:16:55 UTC 2025","Get entities","Courses","",""
"","259","Create file","LMS service","Wed Dec 03 10:16:59 UTC 2025","passed","Wed Dec 03 10:17:00 UTC 2025","Create entity","Files","",""
