"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","556","Create user","LMS service","Fri Nov 28 12:55:24 UTC 2025","passed","Fri Nov 28 12:55:24 UTC 2025","Create entity","Users","",""
"","12","Get file","LMS service","Fri Nov 28 12:55:21 UTC 2025","passed","Fri Nov 28 12:55:21 UTC 2025","Get entity","Files","",""
"","283","Login with correct email and password","LMS service","Fri Nov 28 12:55:15 UTC 2025","passed","Fri Nov 28 12:55:15 UTC 2025","Login","Authentication","",""
"","39","Create course","LMS service","Fri Nov 28 12:55:16 UTC 2025","passed","Fri Nov 28 12:55:16 UTC 2025","Create entity","Courses","",""
"","263","Create file","LMS service","Fri Nov 28 12:55:20 UTC 2025","failed","Fri Nov 28 12:55:21 UTC 2025","Create entity","Files","",""
"","29","Get courses","LMS service","Fri Nov 28 12:55:16 UTC 2025","passed","Fri Nov 28 12:55:16 UTC 2025","Get entities","Courses","",""
"","21","Get user me","LMS service","Fri Nov 28 12:55:25 UTC 2025","passed","Fri Nov 28 12:55:25 UTC 2025","Get entity","Users","",""
"","24","Update exercise","LMS service","Fri Nov 28 12:55:19 UTC 2025","passed","Fri Nov 28 12:55:19 UTC 2025","Update entity","Exercises","",""
"","292","Create exercise","LMS service","Fri Nov 28 12:55:17 UTC 2025","passed","Fri Nov 28 12:55:18 UTC 2025","Create entity","Exercises","",""
"","20","Create file with empty directory","LMS service","Fri Nov 28 12:55:23 UTC 2025","passed","Fri Nov 28 12:55:23 UTC 2025","Validate entity","Files","",""
"","558","Create user","LMS service","Fri Nov 28 12:55:24 UTC 2025","passed","Fri Nov 28 12:55:24 UTC 2025","Create entity","Users","",""
"","289","Delete exercise","LMS service","Fri Nov 28 12:55:19 UTC 2025","passed","Fri Nov 28 12:55:20 UTC 2025","Delete entity","Exercises","",""
"","19","Get exercise","LMS service","Fri Nov 28 12:55:19 UTC 2025","passed","Fri Nov 28 12:55:19 UTC 2025","Get entity","Exercises","",""
"","547","Create user","LMS service","Fri Nov 28 12:55:23 UTC 2025","passed","Fri Nov 28 12:55:24 UTC 2025","Create entity","Users","",""
"","19","Get exercises","LMS service","Fri Nov 28 12:55:20 UTC 2025","passed","Fri Nov 28 12:55:20 UTC 2025","Get entities","Exercises","",""
"","260","Delete file","LMS service","Fri Nov 28 12:55:22 UTC 2025","passed","Fri Nov 28 12:55:22 UTC 2025","Delete entity","Files","",""
"","267","Create file with empty filename","LMS service","Fri Nov 28 12:55:22 UTC 2025","passed","Fri Nov 28 12:55:22 UTC 2025","Validate entity","Files","",""
"","265","Get file with incorrect file id","LMS service","Fri Nov 28 12:55:23 UTC 2025","passed","Fri Nov 28 12:55:24 UTC 2025","Validate entity","Files","",""
"","300","Update course","LMS service","Fri Nov 28 12:55:17 UTC 2025","passed","Fri Nov 28 12:55:17 UTC 2025","Update entity","Courses","",""
